# Cycle: 21, status: ACC, move: ('wf', 9000, 2, 81)
#     Time       Orderp
         0     0.296060
         1     0.302409
         2     0.308269
         3     0.314076
         4     0.319343
         5     0.324796
         6     0.330570
         7     0.335213
         8     0.341539
         9     0.345841
        10     0.351504
        11     0.355746
        12     0.360837
        13     0.363841
        14     0.369109
        15     0.371298
        16     0.375652
        17     0.378596
        18     0.381790
        19     0.385006
        20     0.388075
        21     0.390890
        22     0.393347
        23     0.396550
        24     0.397484
        25     0.401077
        26     0.401366
        27     0.404362
        28     0.404595
        29     0.407094
        30     0.406675
        31     0.409010
        32     0.408113
        33     0.409865
        34     0.409154
        35     0.410220
        36     0.409715
        37     0.410386
        38     0.410039
        39     0.410444
        40     0.410501
        41     0.410629
        42     0.411218
        43     0.411173
        44     0.411830
        45     0.411818
        46     0.412201
        47     0.411615
        48     0.412012
        49     0.410492
        50     0.410183
        51     0.408568
        52     0.407078
        53     0.405044
        54     0.403653
        55     0.400579
        56     0.399493
        57     0.396489
        58     0.394731
        59     0.392261
        60     0.390296
        61     0.387287
        62     0.385622
        63     0.382153
        64     0.379769
        65     0.376482
        66     0.372975
        67     0.369034
        68     0.364947
        69     0.359755
        70     0.354587
        71     0.349183
        72     0.342659
        73     0.337571
        74     0.330520
        75     0.325637
        76     0.318292
        77     0.313660
        78     0.305679
        79     0.301130
        80     0.292227
