# Cycle: 1, status: ACC, move: None
#     Time       Orderp
         0     0.298106
         1     0.301246
         2     0.302610
         3     0.303836
         4     0.304255
         5     0.304800
         6     0.303823
         7     0.304760
         8     0.303386
         9     0.303110
        10     0.301523
        11     0.300141
        12     0.297656
