# Cycle: 14, status: ACC, move: None
#     Time       Orderp
         0     0.300053
         1     0.298427
         2     0.294062
         3     0.291160
         4     0.286305
         5     0.282836
         6     0.277791
         7     0.275327
         8     0.270989
         9     0.269646
        10     0.266901
        11     0.265911
        12     0.264392
        13     0.265233
        14     0.265292
        15     0.267870
        16     0.269625
        17     0.272374
        18     0.275771
        19     0.279039
        20     0.282187
        21     0.285554
        22     0.288332
        23     0.291014
        24     0.294473
        25     0.296384
        26     0.299342
        27     0.300771
