# Cycle: 64, status: ACC, move: None
#     Time       Orderp
         0     0.299454
         1     0.303579
         2     0.307237
         3     0.310498
         4     0.313469
         5     0.315828
         6     0.318182
         7     0.319886
         8     0.322033
         9     0.323090
        10     0.325008
        11     0.325036
        12     0.326435
        13     0.325850
        14     0.326575
        15     0.325362
        16     0.325214
        17     0.322741
        18     0.321216
        19     0.318061
        20     0.315797
        21     0.312763
        22     0.310527
        23     0.307471
        24     0.305129
        25     0.301160
        26     0.297073
