# Preparing propagation with AMS engine
# Trajectory label: 020_57443_4_trajB
# Initial file: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker15/020_57443_4_conf.rkf
# Reversing velocities
# Initial config: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker15/r_020_57443_4_conf.rkf
# Initial order parameter: 0.4921694855811671
0 0.4921694855811671
1 0.4903442075565072
2 0.4889966090557792
3 0.48687433578939115
4 0.4850144674706686
5 0.48315055102998705
6 0.4809421121660872
7 0.47895511625741066
8 0.4768533860450149
9 0.47452159340505556
10 0.47207352377305295
11 0.46978572647472994
12 0.4666640515070082
13 0.46426688755900464
14 0.46139454585958317
15 0.4585501968423552
16 0.4558975577098239
17 0.45374642739550186
18 0.4508652775516069
19 0.4492136804767864
20 0.4470011845806922
21 0.4451002272035215
22 0.44309269255859873
23 0.4405598261268339
24 0.4386355871807848
25 0.4352749707891402
26 0.43246339813813045
27 0.4290109776142582
28 0.4250931657044941
29 0.4200700669003543
30 0.4160876326311559
31 0.40992370697270164
32 0.4051186499903557
33 0.3994936627912939
34 0.3948791124754718
# Propagation done.
