# Cycle: 64, status: ACC, move: None
#     Time       Orderp
         0     0.303828
         1     0.299359
         2     0.292787
         3     0.288855
         4     0.281823
         5     0.277989
         6     0.274082
         7     0.270862
         8     0.267680
         9     0.264255
        10     0.261206
        11     0.259307
        12     0.258598
        13     0.259450
        14     0.263046
        15     0.268515
        16     0.275876
        17     0.283141
        18     0.291283
        19     0.298163
        20     0.304022
