# Cycle: 35, status: ACC, move: None
#     Time       Orderp
         0     0.295716
         1     0.301243
         2     0.306049
         3     0.310269
         4     0.314044
         5     0.317455
         6     0.319676
         7     0.322266
         8     0.323910
         9     0.325505
        10     0.326673
        11     0.327561
        12     0.327332
        13     0.327475
        14     0.325958
        15     0.324892
        16     0.322773
        17     0.321104
        18     0.318195
        19     0.316247
        20     0.312558
        21     0.309701
        22     0.305400
        23     0.301142
        24     0.296056
