# Preparing propagation with AMS engine
# Trajectory label: 023_57440_4_trajB
# Initial file: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker12/023_57440_4_conf.rkf
# Reversing velocities
# Initial config: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker12/r_023_57440_4_conf.rkf
# Initial order parameter: 0.4961334145962196
0 0.4961334145962196
1 0.49188984009287845
2 0.48824542101911206
3 0.48382382273425334
4 0.4798141998473225
5 0.4761846488260571
6 0.47104829569903917
7 0.46756236237707594
8 0.46243793179297427
9 0.4580531640141837
10 0.45287575437556726
11 0.44861794997938576
12 0.44220902247178545
13 0.43842922962418296
14 0.4315486688614597
15 0.426910201027782
16 0.420419017913091
17 0.41509914322855634
18 0.4079589680831952
# Propagation done.
