# Cycle: 74, status: ACC, move: ('wf', 9000, 2, 62)
#     Time       Orderp
         0     0.296469
         1     0.304521
         2     0.312278
         3     0.320059
         4     0.326688
         5     0.333594
         6     0.339544
         7     0.346021
         8     0.351581
         9     0.357263
        10     0.362544
        11     0.367279
        12     0.372033
        13     0.376291
        14     0.380757
        15     0.384749
        16     0.389243
        17     0.393154
        18     0.397570
        19     0.401501
        20     0.405423
        21     0.409208
        22     0.412348
        23     0.415518
        24     0.417876
        25     0.420469
        26     0.422482
        27     0.424856
        28     0.427147
        29     0.429746
        30     0.432399
        31     0.435232
        32     0.438480
        33     0.441096
        34     0.444748
        35     0.447204
        36     0.450655
        37     0.452891
        38     0.456011
        39     0.457803
        40     0.460527
        41     0.461923
        42     0.464271
        43     0.465417
        44     0.467542
        45     0.468660
        46     0.470860
        47     0.471971
        48     0.474395
        49     0.475772
        50     0.478094
        51     0.479896
        52     0.482201
        53     0.484073
        54     0.486486
        55     0.488510
        56     0.490720
        57     0.493129
        58     0.495173
        59     0.497737
        60     0.499789
        61     0.502428
