# Cycle: 80, status: ACC, move: None
#     Time       Orderp
         0     0.302259
         1     0.297945
         2     0.293412
         3     0.288629
         4     0.282346
         5     0.277348
         6     0.271522
         7     0.266961
         8     0.264799
         9     0.263285
        10     0.263789
        11     0.266143
        12     0.268648
        13     0.273588
        14     0.278492
        15     0.283630
        16     0.287688
        17     0.291819
        18     0.293727
        19     0.297411
        20     0.299268
        21     0.303629
