# Cycle: 54, status: ACC, move: ('wf', 9000, 2, 57)
#     Time       Orderp
         0     0.299156
         1     0.306284
         2     0.312427
         3     0.318852
         4     0.324488
         5     0.330329
         6     0.334392
         7     0.340860
         8     0.343903
         9     0.348994
        10     0.352090
        11     0.355239
        12     0.357155
        13     0.360026
        14     0.361215
        15     0.364156
        16     0.365942
        17     0.368692
        18     0.371762
        19     0.374536
        20     0.378468
        21     0.382263
        22     0.386654
        23     0.391040
        24     0.396602
        25     0.400628
        26     0.405947
        27     0.409877
        28     0.414176
        29     0.416663
        30     0.421375
        31     0.422943
        32     0.427168
        33     0.429561
        34     0.433030
        35     0.435413
        36     0.439451
        37     0.440883
        38     0.445000
        39     0.446638
        40     0.449397
        41     0.451918
        42     0.454231
        43     0.456550
        44     0.460062
        45     0.462654
        46     0.466240
        47     0.470734
        48     0.473947
        49     0.478661
        50     0.482798
        51     0.486458
        52     0.490270
        53     0.493859
        54     0.496723
        55     0.499460
        56     0.502480
