# Cycle: 22, status: ACC, move: ('wf', 9000, 2, 109)
#     Time       Orderp
         0     0.293232
         1     0.301114
         2     0.309427
         3     0.316477
         4     0.323252
         5     0.329620
         6     0.334201
         7     0.339732
         8     0.343607
         9     0.347231
        10     0.350138
        11     0.353554
        12     0.355268
        13     0.359126
        14     0.361528
        15     0.365629
        16     0.369309
        17     0.373787
        18     0.377933
        19     0.382713
        20     0.386268
        21     0.390141
        22     0.393584
        23     0.395711
        24     0.398704
        25     0.400236
        26     0.402299
        27     0.403331
        28     0.405429
        29     0.405883
        30     0.408205
        31     0.408918
        32     0.411360
        33     0.412316
        34     0.415255
        35     0.416337
        36     0.419529
        37     0.421159
        38     0.424181
        39     0.426286
        40     0.429070
        41     0.431251
        42     0.434079
        43     0.435975
        44     0.439029
        45     0.441008
        46     0.443528
        47     0.445950
        48     0.447941
        49     0.449657
        50     0.451884
        51     0.452699
        52     0.454132
        53     0.455533
        54     0.455557
        55     0.457211
        56     0.457438
        57     0.458539
        58     0.459076
        59     0.461067
        60     0.460780
        61     0.463794
        62     0.463822
        63     0.465909
        64     0.466980
        65     0.468325
        66     0.468877
        67     0.470429
        68     0.470300
        69     0.471056
        70     0.471191
        71     0.470847
        72     0.470709
        73     0.470253
        74     0.469603
        75     0.469150
        76     0.468618
        77     0.468205
        78     0.467777
        79     0.467547
        80     0.467378
        81     0.467058
        82     0.467316
        83     0.467269
        84     0.467509
        85     0.467991
        86     0.468407
        87     0.468694
        88     0.469753
        89     0.469851
        90     0.471055
        91     0.471766
        92     0.472874
        93     0.473883
        94     0.475561
        95     0.476223
        96     0.478462
        97     0.479236
        98     0.481514
        99     0.482749
       100     0.485264
       101     0.486454
       102     0.489430
       103     0.490455
       104     0.493626
       105     0.494737
       106     0.498016
       107     0.499360
       108     0.502270
