# Cycle: 29, status: ACC, move: ('wf', 9000, 2, 32)
#     Time       Orderp
         0     0.294326
         1     0.304684
         2     0.314383
         3     0.323151
         4     0.332188
         5     0.339841
         6     0.347740
         7     0.355332
         8     0.362797
         9     0.369844
        10     0.377886
        11     0.384595
        12     0.392298
        13     0.399546
        14     0.406450
        15     0.413455
        16     0.420328
        17     0.426388
        18     0.433005
        19     0.438864
        20     0.444426
        21     0.450518
        22     0.455409
        23     0.461021
        24     0.466101
        25     0.471452
        26     0.476049
        27     0.482348
        28     0.486496
        29     0.492819
        30     0.498062
        31     0.503640
