# Cycle: 8, status: ACC, move: ('wf', 9000, 1, 63)
#     Time       Orderp
         0     0.297352
         1     0.300328
         2     0.305442
         3     0.309721
         4     0.314056
         5     0.318236
         6     0.322877
         7     0.325861
         8     0.329877
         9     0.333102
        10     0.336136
        11     0.339872
        12     0.342874
        13     0.346382
        14     0.349683
        15     0.353217
        16     0.356252
        17     0.360322
        18     0.363327
        19     0.367320
        20     0.370970
        21     0.374663
        22     0.378260
        23     0.382544
        24     0.385280
        25     0.389490
        26     0.392587
        27     0.395268
        28     0.398702
        29     0.401310
        30     0.403479
        31     0.406877
        32     0.408989
        33     0.411463
        34     0.414976
        35     0.416961
        36     0.420140
        37     0.423548
        38     0.425836
        39     0.429313
        40     0.432751
        41     0.434880
        42     0.438810
        43     0.441502
        44     0.444096
        45     0.447507
        46     0.450293
        47     0.452512
        48     0.456315
        49     0.458307
        50     0.461471
        51     0.464579
        52     0.467364
        53     0.470373
        54     0.474196
        55     0.476727
        56     0.480747
        57     0.484238
        58     0.487466
        59     0.491622
        60     0.495217
        61     0.498729
        62     0.502757
