# Cycle: 23, status: ACC, move: None
#     Time       Orderp
         0     0.300868
         1     0.295625
         2     0.290753
         3     0.284866
         4     0.279717
         5     0.274769
         6     0.271179
         7     0.267935
         8     0.267121
         9     0.265764
        10     0.266908
        11     0.268247
        12     0.270915
        13     0.273814
        14     0.276246
        15     0.278719
        16     0.281097
        17     0.284599
        18     0.287974
        19     0.292627
        20     0.296589
        21     0.301426
