# Preparing propagation with AMS engine
# Trajectory label: 024_57452_4_trajB
# Initial file: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker24/024_57452_4_conf.rkf
# Reversing velocities
# Initial config: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker24/r_024_57452_4_conf.rkf
# Initial order parameter: 0.43033669864447627
0 0.43033669864447627
1 0.43123168325567024
2 0.4323382629880997
3 0.4323763801400185
4 0.4328485827958062
5 0.4323480291750119
6 0.43250679508706574
7 0.4313602474961486
8 0.43146729877131773
9 0.4300457050011346
10 0.43021003011957043
11 0.42857488500227553
12 0.42895174109340456
13 0.4276174670147854
14 0.4276553481601945
15 0.42703547415694704
16 0.42693308150593806
17 0.4263581035869309
18 0.426238410688794
19 0.4256785319491655
20 0.42500427025651927
21 0.424217011713385
22 0.42323060391680123
23 0.42170912252900633
24 0.42028005177367644
25 0.4183288814353282
26 0.41637978816706384
27 0.4141079384806589
# Propagation done.
