# Cycle: 88, status: ACC, move: ('wf', 9000, 2, 125)
#     Time       Orderp
         0     0.296042
         1     0.300341
         2     0.305483
         3     0.310214
         4     0.313283
         5     0.316778
         6     0.320475
         7     0.324011
         8     0.328947
         9     0.334096
        10     0.339573
        11     0.346140
        12     0.351716
        13     0.357718
        14     0.362202
        15     0.367375
        16     0.370135
        17     0.374194
        18     0.376479
        19     0.379622
        20     0.381174
        21     0.384217
        22     0.385953
        23     0.387927
        24     0.391211
        25     0.393192
        26     0.396235
        27     0.399390
        28     0.402419
        29     0.405085
        30     0.409021
        31     0.410899
        32     0.414897
        33     0.416668
        34     0.419894
        35     0.421958
        36     0.423988
        37     0.425742
        38     0.427207
        39     0.427801
        40     0.429007
        41     0.429293
        42     0.429926
        43     0.431352
        44     0.431830
        45     0.434212
        46     0.436173
        47     0.438242
        48     0.441139
        49     0.443708
        50     0.445415
        51     0.447772
        52     0.449316
        53     0.449692
        54     0.450745
        55     0.450669
        56     0.450259
        57     0.449662
        58     0.449661
        59     0.448824
        60     0.449045
        61     0.449797
        62     0.450762
        63     0.452214
        64     0.454329
        65     0.456408
        66     0.458345
        67     0.460520
        68     0.461833
        69     0.463799
        70     0.463889
        71     0.465668
        72     0.465754
        73     0.466516
        74     0.467061
        75     0.467255
        76     0.466901
        77     0.466593
        78     0.465768
        79     0.464532
        80     0.463584
        81     0.463202
        82     0.462082
        83     0.462298
        84     0.462899
        85     0.463267
        86     0.464454
        87     0.466525
        88     0.467367
        89     0.469888
        90     0.471462
        91     0.473708
        92     0.475239
        93     0.477664
        94     0.479003
        95     0.480738
        96     0.482122
        97     0.483625
        98     0.484406
        99     0.486252
       100     0.487154
       101     0.488028
       102     0.489808
       103     0.489932
       104     0.490905
       105     0.491388
       106     0.491561
       107     0.491470
       108     0.491956
       109     0.491396
       110     0.492048
       111     0.491619
       112     0.492217
       113     0.492216
       114     0.492398
       115     0.492956
       116     0.493142
       117     0.493484
       118     0.494476
       119     0.494722
       120     0.495499
       121     0.497046
       122     0.497263
       123     0.499200
       124     0.500517
