# Cycle: 55, status: ACC, move: ('wf', 9000, 1, 78)
#     Time       Orderp
         0     0.297698
         1     0.303125
         2     0.308219
         3     0.314007
         4     0.319446
         5     0.324456
         6     0.329118
         7     0.333261
         8     0.336115
         9     0.339520
        10     0.341817
        11     0.344631
        12     0.347435
        13     0.350656
        14     0.353450
        15     0.357882
        16     0.360964
        17     0.365641
        18     0.369786
        19     0.374154
        20     0.378482
        21     0.382604
        22     0.386172
        23     0.389247
        24     0.392315
        25     0.394187
        26     0.396938
        27     0.398660
        28     0.401017
        29     0.403102
        30     0.405584
        31     0.407672
        32     0.410615
        33     0.412678
        34     0.415524
        35     0.417697
        36     0.420076
        37     0.421981
        38     0.424148
        39     0.425669
        40     0.427683
        41     0.429288
        42     0.431067
        43     0.432940
        44     0.434845
        45     0.436823
        46     0.439094
        47     0.441473
        48     0.443755
        49     0.446829
        50     0.449065
        51     0.452391
        52     0.454830
        53     0.458082
        54     0.460430
        55     0.463714
        56     0.465606
        57     0.468580
        58     0.470228
        59     0.472263
        60     0.473739
        61     0.475057
        62     0.475812
        63     0.477116
        64     0.477417
        65     0.478501
        66     0.479488
        67     0.480411
        68     0.481885
        69     0.483612
        70     0.485105
        71     0.487308
        72     0.489555
        73     0.491439
        74     0.494367
        75     0.496478
        76     0.499277
        77     0.501874
