0		2.62118626	2.64169025	13.60601807	13.63229156	13.64308953	0-1
0		13.64308953	13.65123606	14.43718290	14.44298697	14.45649862	4
0		1.47486091	1.49349356	4.86621308	4.87507749	4.88740277	0-1
0		4.88740277	4.89407134	5.48493409	5.48889875	5.50018740	3
0		5.50018740	5.50625038	6.68992758	6.69442415	6.70321059	3
0		6.70321059	6.70991135	8.48402762	8.48865676	8.51336908	3
0		8.51336908	8.51964593	9.39174223	9.39553380	9.40403414	4
0		9.40403414	9.40754294	10.40963793	10.41376424	10.42255354	2
0		10.42255354	10.42987776	12.02083492	12.02509308	12.03439546	4
0		12.03439546	12.03873205	13.39855647	13.40328050	13.41296053	2
0		13.41296053	13.41780615	14.42476773	14.42869997	14.43737984	0
0		14.43737984	14.44056034	14.85201383	14.85592508	14.86315441	0
0		14.86315441	14.86611390	15.17306781	15.17687988	15.18365312	0
0		15.18365312	15.18694353	15.49009585	15.49348664	15.50069976	2
0		15.50069976	15.50414634	16.87530112	16.87985945	16.88965559	0-1
0		16.88965559	16.89300203	17.56452823	17.56830263	17.57951260	0
0		17.57951260	17.58237505	17.97816300	17.98159599	17.98890257	2
0		17.98890257	17.99352551	19.07408714	19.07779527	19.08585334	2
0		19.08585334	19.08999920	20.01139379	20.01501727	20.02428436	1
0		20.02428436	20.02711415	20.37965751	20.38311410	20.39047432	4
0		20.39047432	20.39456224	21.25102615	21.25466776	21.26223826	4
0		21.26223826	21.26544690	22.12138581	22.12543511	22.13631964	2
0		22.13631964	22.14062858	23.31373096	23.31761217	23.32581282	2
0		23.32581282	23.32918048	24.37727284	24.38097811	24.40913057	0-1
0		24.40913057	24.41275668	25.00621819	25.00993752	25.02176332	2
0		25.02176332	25.02553630	26.06505680	26.06906748	26.07815504	0-1
0		26.07815504	26.08126044	26.75146604	26.75540972	26.76715541	4
0		26.76715541	26.77054954	27.42082977	27.42479277	27.43318963	1
0		27.43318963	27.43714261	27.74605465	27.74922729	27.75657201	1
0		27.75657201	27.75961399	28.11604595	28.11972690	28.12340140	0-1
0		28.12340140	28.12662482	28.69652867	28.70028734	28.71182632	1
0		28.71182632	28.71457219	29.09501314	29.09955668	29.10731030	0
0		29.10731030	29.11008620	29.42295504	29.42636228	29.43374372	4
0		29.43374372	29.43794060	30.90949893	30.91361642	30.92265558	1
0		30.92265558	30.92562509	31.18740392	31.19085670	31.19883561	0-1
0		31.19883561	31.20204401	31.93227506	31.93669987	31.94953895	2
0		31.94953895	31.95309711	33.71717143	33.72124839	33.73077345	4
0		33.73077345	33.73374605	34.31034827	34.31385112	34.32260895	0-1
0		34.32260895	34.32680798	34.92873621	34.93257833	34.94446707	0-1
0		34.94446707	34.94758940	35.75192666	35.75633168	35.76909924	2
0		35.76909924	35.77230382	36.94742870	36.95111299	36.96037126	3
0		36.96037126	36.96439075	37.67798257	37.68115783	37.69014192	0
0		37.69014192	37.69317460	38.04502225	38.04865074	38.05227828	3
0		38.05227828	38.05708933	39.15649271	39.16052747	39.17050314	0
0		39.17050314	39.17357540	39.51926708	39.52254558	39.53066611	3
0		39.53066611	39.53373241	41.05006409	41.05484176	41.06446552	2
0		41.06446552	41.06777954	41.97814226	41.98202085	41.99135232	4
0		41.99135232	41.99515986	43.38426399	43.38912678	43.40042400	0-1
0		43.40042400	43.40427613	44.00381184	44.00757456	44.01969600	4
0		44.01969600	44.02455115	45.87220740	45.87699580	45.88719130	4
0		45.88719130	45.89236331	47.56086707	47.56595612	47.56890917	3
