# Preparing propagation with AMS engine
# Trajectory label: 003_159_trajB
# Initial file: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer/worker1/003_159_conf.rkf
# Reversing velocities
# Initial config: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer/worker1/r_003_159_conf.rkf
# Initial order parameter: 0.4934472169046474
0 0.4934472169046474
1 0.48934472051511957
2 0.48648556164530216
3 0.4824675977923364
4 0.4792713028111092
5 0.4765764013750334
6 0.4729233467206075
7 0.47037025366798396
8 0.4681056287254445
9 0.4644144498607174
10 0.46277385183096026
11 0.46022620818265647
12 0.4564160235534071
13 0.4549854255433183
14 0.4512691255228563
15 0.44706549020876557
16 0.4448989065076661
17 0.440094883613735
18 0.4357087321545711
19 0.433139903146795
20 0.42783039483770213
21 0.42432256050387784
22 0.4213044199826502
23 0.41653213827147606
24 0.4133004949847723
25 0.41027521438901554
26 0.4048145460611138
27 0.40207683254116433
28 0.39720569812383455
# Propagation done.
