# Preparing propagation with AMS engine
# Trajectory label: 002_35529_3_trajB
# Initial file: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer/worker1/002_35529_3_conf.rkf
# Reversing velocities
# Initial config: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer/worker1/r_002_35529_3_conf.rkf
# Initial order parameter: 0.3622313517620949
0 0.3622313517620949
1 0.368738495290921
2 0.3740190031457747
3 0.3788958561310845
4 0.38402416601407785
5 0.38823055696724584
6 0.3923933508583805
7 0.39704508894560653
8 0.40078445323287254
9 0.4048446374009556
10 0.4093209803405049
11 0.4125560369033263
12 0.41667716301023905
13 0.42046244161305846
14 0.4233934754779598
15 0.4272301308317845
16 0.43036390308913164
17 0.43325372728105316
18 0.4367150918251591
19 0.43986932653696914
20 0.44240958596733443
21 0.44627603009828476
22 0.44854941336282256
23 0.45159288572652073
24 0.45418864521146934
25 0.4566843148345432
26 0.4584270748781755
27 0.4610581190665101
28 0.46221162402368593
29 0.4643163356918586
30 0.4654977634979759
31 0.4672894424642656
32 0.4684861505132205
33 0.4701743513710039
34 0.47168579253571163
35 0.4735667579722779
36 0.47497746550085823
37 0.47748716702150706
38 0.47899008992543235
39 0.4813015953662361
40 0.48368118130638216
41 0.48553423414553154
42 0.48813514030951927
43 0.4903201883694887
44 0.4923792471850362
45 0.4946545260313727
46 0.49672622179458414
47 0.4981982823053373
48 0.5006778688010077
# Propagation done.
