# Cycle: 40, status: ACC, move: None
#     Time       Orderp
         0     0.300084
         1     0.297537
         2     0.294632
         3     0.290984
         4     0.287742
         5     0.284823
         6     0.280701
         7     0.278880
         8     0.277086
         9     0.276622
        10     0.277450
        11     0.277779
        12     0.277433
        13     0.277886
        14     0.278163
        15     0.279636
        16     0.282832
        17     0.284953
        18     0.288781
        19     0.291481
        20     0.294198
        21     0.297299
        22     0.300208
