# Preparing propagation with AMS engine
# Trajectory label: 026_57446_4_trajB
# Initial file: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker18/026_57446_4_conf.rkf
# Reversing velocities
# Initial config: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker18/r_026_57446_4_conf.rkf
# Initial order parameter: 0.4829288211134766
0 0.4829288211134766
1 0.482973237905275
2 0.4818000816660875
3 0.48312574661589475
4 0.48215809811048654
5 0.48158489930887255
6 0.4826165710446299
7 0.48099664996346636
8 0.4811706574008522
9 0.4812296468748669
10 0.48004187157610384
11 0.4796234792995645
12 0.4801391404555965
13 0.4774318377687606
14 0.47855226741807166
15 0.4767565399516845
16 0.4756120048295595
17 0.47520198966979194
18 0.47416545811701843
19 0.47189490339518686
20 0.4725277086145515
21 0.4698163503027248
22 0.4689616213569074
23 0.46848076816248396
24 0.362935622034
# Propagation done.
