# Preparing propagation with AMS engine
# Trajectory label: 026_57446_1_trajB
# Initial file: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker18/026_57446_1_conf.rkf
# Reversing velocities
# Initial config: /home/konrad/opt/infretis_new/infretis/examples/ams/water_dimer_many_workers/worker18/r_026_57446_1_conf.rkf
# Initial order parameter: 0.4909809105306976
0 0.4909809105306976
1 0.490036403637975
2 0.4876465524472132
3 0.4876468422771665
4 0.48565135703939205
5 0.4839981405455668
6 0.4829288211134766
7 0.48120632817427184
8 0.47833775152409147
9 0.47784383719025153
10 0.47421233866567447
11 0.47223990566971696
12 0.47004269754700706
13 0.4667529648504211
14 0.4640576767131696
15 0.4622005735746817
16 0.4580437643674413
17 0.4566070385794608
18 0.45375467856923085
19 0.450567148791557
20 0.4491703502450406
21 0.4464086147030679
22 0.44358665476899617
23 0.4421038088352615
24 0.4392368668295718
25 0.4362609649295538
26 0.43458293995677016
27 0.4310578181915829
28 0.4282708368071229
29 0.42579587943757335
30 0.4219980579122468
# Propagation done.
