# Cycle: 1, status: ACC, move: None
#     Time       Orderp
         0     0.302400
         1     0.299171
         2     0.296277
         3     0.292267
         4     0.289912
         5     0.287183
         6     0.285071
         7     0.283318
         8     0.280852
         9     0.277583
        10     0.274846
        11     0.272076
        12     0.270289
        13     0.270140
        14     0.268862
        15     0.269741
        16     0.270624
        17     0.272569
        18     0.274325
        19     0.277052
        20     0.278177
        21     0.280887
        22     0.281366
        23     0.282946
        24     0.283441
        25     0.284643
        26     0.285847
        27     0.289064
        28     0.290937
        29     0.294388
        30     0.296894
        31     0.298854
        32     0.300789
